IBGE,UF,Município,Tipologia IBGE
150150,PA,BENEVIDES,Urbano
150157,PA,BOM JESUS DO TOCANTINS,Rural Adjacente
150160,PA,BONITO,Rural Adjacente
150170,PA,BRAGANÇA,Urbano
150172,PA,BRASIL NOVO,Rural Adjacente
150175,PA,BREJO GRANDE DO ARAGUAIA,Rural Adjacente
150178,PA,BREU BRANCO,Urbano
150190,PA,BUJARU,Rural Adjacente
150195,PA,CACHOEIRA DO PIRIÁ,Rural Adjacente
150200,PA,CACHOEIRA DO ARARI,Rural Remoto
150210,PA,CAMETÁ,Urbano
150215,PA,CANAÃ DOS CARAJÁS,Intermediário Remoto
150220,PA,CAPANEMA,Urbano
150230,PA,CAPITÃO POÇO,Rural Adjacente
150240,PA,CASTANHAL,Urbano
150250,PA,CHAVES,Rural Remoto
150260,PA,COLARES,Rural Adjacente
150270,PA,CONCEIÇÃO DO ARAGUAIA,Urbano
150275,PA,CONCÓRDIA DO PARÁ,Intermediário Adjacente
150276,PA,CUMARU DO NORTE,Rural Adjacente
150277,PA,CURIONÓPOLIS,Urbano
150280,PA,CURRALINHO,Rural Remoto
150285,PA,CURUÁ,Rural Remoto
150290,PA,CURUÇÁ,Rural Adjacente
150293,PA,DOM ELISEU,Urbano
150295,PA,ELDORADO DOS CARAJÁS,Intermediário Adjacente
150300,PA,FARO,Rural Remoto
150304,PA,FLORESTA DO ARAGUAIA,Rural Adjacente
150307,PA,GARRAFÃO DO NORTE,Rural Adjacente
150309,PA,GOIANÉSIA DO PARÁ,Intermediário Adjacente
150310,PA,GURUPÁ,Rural Remoto
150320,PA,IGARAPÉ-AÇU,Intermediário Adjacente
150330,PA,IGARAPÉ-MIRI,Intermediário Adjacente
150340,PA,INHANGAPI,Rural Adjacente
150345,PA,IPIXUNA DO PARÁ,Rural Adjacente
150350,PA,IRITUIA,Rural Adjacente
150360,PA,ITAITUBA,Urbano
150370,PA,ITUPIRANGA,Urbano
150375,PA,JACAREACANGA,Rural Remoto
150380,PA,JACUNDÁ,Urbano
150390,PA,JURUTI,Intermediário Remoto
150400,PA,LIMOEIRO DO AJURU,Rural Adjacente
150405,PA,MÃE DO RIO,Urbano
150410,PA,MAGALHÃES BARATA,Rural Adjacente
150420,PA,MARABÁ,Urbano
150430,PA,MARACANÃ,Rural Adjacente
150440,PA,MARAPANIM,Rural Adjacente
150442,PA,MARITUBA,Urbano
150445,PA,MEDICILÂNDIA,Rural Adjacente
150450,PA,MELGAÇO,Rural Remoto
150460,PA,MOCAJUBA,Intermediário Adjacente
150475,PA,MOJUÍ DOS CAMPOS,Rural Adjacente
150480,PA,MONTE ALEGRE,Urbano
150490,PA,MUANÁ,Rural Remoto
150495,PA,NOVA ESPERANÇA DO PIRIÁ,Rural Adjacente
150497,PA,NOVA IPIXUNA,Rural Adjacente
150500,PA,NOVA TIMBOTEUA,Rural Adjacente
150503,PA,NOVO PROGRESSO,Intermediário Remoto
150506,PA,NOVO REPARTIMENTO,Intermediário Adjacente
150510,PA,ÓBIDOS,Urbano
150520,PA,OEIRAS DO PARÁ,Rural Adjacente
150530,PA,ORIXIMINÁ,Urbano
150540,PA,OURÉM,Rural Adjacente
150543,PA,OURILÂNDIA DO NORTE,Urbano
150548,PA,PACAJÁ,Rural Remoto
150549,PA,PALESTINA DO PARÁ,Rural Adjacente
150550,PA,PARAGOMINAS,Urbano
150553,PA,PARAUAPEBAS,Urbano
150555,PA,PAU D'ARCO,Rural Adjacente
150560,PA,PEIXE-BOI,Rural Adjacente
150563,PA,PIÇARRA,Rural Adjacente
150565,PA,PLACAS,Rural Remoto
150570,PA,PONTA DE PEDRAS,Rural Adjacente
150580,PA,PORTEL,Intermediário Remoto
150590,PA,PORTO DE MOZ,Rural Remoto
150600,PA,PRAINHA,Rural Remoto
150610,PA,PRIMAVERA,Rural Adjacente
150611,PA,QUATIPURU,Intermediário Adjacente
150613,PA,REDENÇÃO,Urbano
150616,PA,RIO MARIA,Urbano
150618,PA,RONDON DO PARÁ,Urbano
150619,PA,RURÓPOLIS,Rural Remoto
150620,PA,SALINÓPOLIS,Urbano
150630,PA,SALVATERRA,Rural Remoto
150635,PA,SANTA BÁRBARA DO PARÁ,Rural Adjacente
150640,PA,SANTA CRUZ DO ARARI,Intermediário Remoto
150650,PA,SANTA IZABEL DO PARÁ,Urbano
150655,PA,SANTA LUZIA DO PARÁ,Rural Adjacente
150658,PA,SANTA MARIA DAS BARREIRAS,Rural Remoto
150660,PA,SANTA MARIA DO PARÁ,Intermediário Adjacente
150670,PA,SANTANA DO ARAGUAIA,Urbano
150680,PA,SANTARÉM,Urbano
150690,PA,SANTARÉM NOVO,Rural Adjacente
150700,PA,SANTO ANTÔNIO DO TAUÁ,Rural Adjacente
150710,PA,SÃO CAETANO DE ODIVELAS,Rural Adjacente
150720,PA,SÃO DOMINGOS DO CAPIM,Rural Adjacente
150730,PA,SÃO FÉLIX DO XINGU,Urbano
150740,PA,SÃO FRANCISCO DO PARÁ,Rural Adjacente
150745,PA,SÃO GERALDO DO ARAGUAIA,Intermediário Adjacente
150746,PA,SÃO JOÃO DA PONTA,Rural Adjacente
150747,PA,SÃO JOÃO DE PIRABAS,Intermediário Adjacente
150750,PA,SÃO JOÃO DO ARAGUAIA,Rural Adjacente
150760,PA,SÃO MIGUEL DO GUAMÁ,Urbano
150770,PA,SÃO SEBASTIÃO DA BOA VISTA,Rural Remoto
150775,PA,SAPUCAIA,Rural Remoto
150780,PA,SENADOR JOSÉ PORFÍRIO,Rural Remoto
150790,PA,SOURE,Urbano
150795,PA,TAILÂNDIA,Urbano
150796,PA,TERRA ALTA,Rural Adjacente
150797,PA,TERRA SANTA,Urbano
150800,PA,TOMÉ-AÇU,Urbano
150803,PA,TRACUATEUA,Rural Adjacente
150805,PA,TRAIRÃO,Rural Remoto
150808,PA,TUCUMÃ,Urbano
150810,PA,TUCURUÍ,Urbano
150812,PA,ULIANÓPOLIS,Urbano
150815,PA,URUARÁ,Intermediário Remoto
150820,PA,VIGIA,Urbano
150830,PA,VISEU,Rural Adjacente
150835,PA,VITÓRIA DO XINGU,Rural Adjacente
150840,PA,XINGUARA,Urbano
160005,AP,SERRA DO NAVIO,Rural Remoto
160010,AP,AMAPÁ,Intermediário Remoto
160015,AP,PEDRA BRANCA DO AMAPARI,Rural Remoto
160020,AP,CALÇOENE,Rural Remoto
160021,AP,CUTIAS,Rural Adjacente
160023,AP,FERREIRA GOMES,Intermediário Adjacente
160025,AP,ITAUBAL,Rural Adjacente
160027,AP,LARANJAL DO JARI,Urbano
160030,AP,MACAPÁ,Urbano
160040,AP,MAZAGÃO,Rural Adjacente
160050,AP,OIAPOQUE,Intermediário Remoto
160053,AP,PORTO GRANDE,Intermediário Adjacente
160055,AP,PRACUÚBA,Rural Remoto
160060,AP,SANTANA,Urbano
160070,AP,TARTARUGALZINHO,Rural Remoto
160080,AP,VITÓRIA DO JARI,Rural Remoto
170025,TO,ABREULÂNDIA,Rural Adjacente
170030,TO,AGUIARNÓPOLIS,Urbano
170040,TO,ALMAS,Intermediário Remoto
170070,TO,ALVORADA,Intermediário Adjacente
170100,TO,ANANÁS,Intermediário Adjacente
170105,TO,ANGICO,Rural Adjacente
170110,TO,APARECIDA DO RIO NEGRO,Intermediário Adjacente
170130,TO,ARAGOMINAS,Rural Adjacente
170190,TO,ARAGUACEMA,Rural Remoto
170200,TO,ARAGUAÇU,Rural Remoto
170210,TO,ARAGUAÍNA,Urbano
170215,TO,ARAGUANÃ,Rural Adjacente
170220,TO,ARAGUATINS,Intermediário Adjacente
170230,TO,ARAPOEMA,Intermediário Adjacente
170240,TO,ARRAIAS,Rural Adjacente
170255,TO,AUGUSTINÓPOLIS,Urbano
170270,TO,AURORA DO TOCANTINS,Rural Remoto
170290,TO,AXIXÁ DO TOCANTINS,Intermediário Adjacente
170300,TO,BABAÇULÂNDIA,Rural Adjacente
170305,TO,BANDEIRANTES DO TOCANTINS,Rural Adjacente
170307,TO,BARRA DO OURO,Rural Adjacente
170310,TO,BARROLÂNDIA,Intermediário Adjacente
170320,TO,BERNARDO SAYÃO,Rural Adjacente
170330,TO,BOM JESUS DO TOCANTINS,Intermediário Remoto
170360,TO,BRASILÂNDIA DO TOCANTINS,Rural Adjacente
170370,TO,BREJINHO DE NAZARÉ,Rural Adjacente
170380,TO,BURITI DO TOCANTINS,Intermediário Adjacente
170382,TO,CACHOEIRINHA,Rural Adjacente
170384,TO,CAMPOS LINDOS,Rural Remoto
170386,TO,CARIRI DO TOCANTINS,Rural Adjacente
170388,TO,CARMOLÂNDIA,Rural Adjacente
170389,TO,CARRASCO BONITO,Rural Remoto
170390,TO,CASEARA,Rural Remoto
170410,TO,CENTENÁRIO,Rural Remoto
170460,TO,CHAPADA DE AREIA,Rural Adjacente
170510,TO,CHAPADA DA NATIVIDADE,Rural Remoto
170550,TO,COLINAS DO TOCANTINS,Urbano
170555,TO,COMBINADO,Intermediário Remoto
170560,TO,CONCEIÇÃO DO TOCANTINS,Rural Remoto
170600,TO,COUTO MAGALHÃES,Rural Remoto
170610,TO,CRISTALÂNDIA,Rural Adjacente
170625,TO,CRIXÁS DO TOCANTINS,Rural Adjacente
170650,TO,DARCINÓPOLIS,Rural Adjacente
170700,TO,DIANÓPOLIS,Urbano
170710,TO,DIVINÓPOLIS DO TOCANTINS,Rural Remoto
170720,TO,DOIS IRMÃOS DO TOCANTINS,Rural Remoto
170740,TO,ESPERANTINA,Rural Adjacente
170755,TO,FÁTIMA,Rural Adjacente
170765,TO,FIGUEIRÓPOLIS,Rural Adjacente
170770,TO,FILADÉLFIA,Intermediário Adjacente
170820,TO,FORMOSO DO ARAGUAIA,Intermediário Adjacente
170825,TO,FORTALEZA DO TABOCÃO,Rural Adjacente
170830,TO,GOIANORTE,Rural Remoto
170900,TO,GOIATINS,Rural Adjacente
170930,TO,GUARAÍ,Urbano
170950,TO,GURUPI,Urbano
170980,TO,IPUEIRAS,Rural Adjacente
171050,TO,ITACAJÁ,Rural Remoto
171070,TO,ITAGUATINS,Rural Adjacente
171090,TO,ITAPIRATINS,Rural Adjacente
171110,TO,ITAPORÃ DO TOCANTINS,Rural Adjacente
171150,TO,JAÚ DO TOCANTINS,Rural Remoto
171180,TO,JUARINA,Rural Remoto
171190,TO,LAGOA DA CONFUSÃO,Rural Remoto
171195,TO,LAGOA DO TOCANTINS,Rural Adjacente
171200,TO,LAJEADO,Rural Adjacente
171215,TO,LAVANDEIRA,Rural Remoto
171240,TO,LIZARDA,Rural Remoto
171245,TO,LUZINÓPOLIS,Rural Adjacente
171250,TO,MARIANÓPOLIS DO TOCANTINS,Rural Adjacente
171270,TO,MATEIROS,Rural Remoto
171280,TO,MAURILÂNDIA DO TOCANTINS,Rural Adjacente
171320,TO,MIRACEMA DO TOCANTINS,Intermediário Adjacente
171330,TO,MIRANORTE,Urbano
171360,TO,MONTE DO CARMO,Rural Adjacente
171370,TO,MONTE SANTO DO TOCANTINS,Rural Adjacente
171380,TO,PALMEIRAS DO TOCANTINS,Rural Adjacente
171395,TO,MURICILÂNDIA,Rural Adjacente
171420,TO,NATIVIDADE,Rural Remoto
171430,TO,NAZARÉ,Rural Adjacente
171488,TO,NOVA OLINDA,Rural Adjacente
171500,TO,NOVA ROSALÂNDIA,Rural Adjacente
171510,TO,NOVO ACORDO,Rural Adjacente
171515,TO,NOVO ALEGRE,Rural Remoto
171525,TO,NOVO JARDIM,Rural Remoto
171550,TO,OLIVEIRA DE FÁTIMA,Rural Adjacente
171570,TO,PALMEIRANTE,Rural Adjacente
171575,TO,PALMEIRÓPOLIS,Rural Remoto
171610,TO,PARAÍSO DO TOCANTINS,Urbano
171620,TO,PARANÃ,Rural Remoto
171650,TO,PEDRO AFONSO,Intermediário Remoto
171660,TO,PEIXE,Rural Adjacente
171665,TO,PEQUIZEIRO,Rural Remoto
171670,TO,COLMÉIA,Rural Remoto
171700,TO,PINDORAMA DO TOCANTINS,Rural Remoto
171720,TO,PIRAQUÊ,Rural Adjacente
171750,TO,PIUM,Rural Adjacente
171780,TO,PONTE ALTA DO BOM JESUS,Rural Remoto
171790,TO,PONTE ALTA DO TOCANTINS,Rural Adjacente
171800,TO,PORTO ALEGRE DO TOCANTINS,Rural Remoto
171820,TO,PORTO NACIONAL,Urbano
171830,TO,PRAIA NORTE,Rural Adjacente
171840,TO,PRESIDENTE KENNEDY,Rural Adjacente
171845,TO,PUGMIL,Rural Adjacente
171850,TO,RECURSOLÂNDIA,Rural Remoto
171855,TO,RIACHINHO,Rural Adjacente
171865,TO,RIO DA CONCEIÇÃO,Rural Remoto
171870,TO,RIO DOS BOIS,Rural Adjacente
171875,TO,RIO SONO,Rural Adjacente
171880,TO,SAMPAIO,Intermediário Adjacente
171884,TO,SANDOLÂNDIA,Rural Remoto
171886,TO,SANTA FÉ DO ARAGUAIA,Rural Adjacente
171888,TO,SANTA MARIA DO TOCANTINS,Rural Remoto
171889,TO,SANTA RITA DO TOCANTINS,Rural Adjacente
171890,TO,SANTA ROSA DO TOCANTINS,Rural Adjacente
171900,TO,SANTA TEREZA DO TOCANTINS,Rural Adjacente
172000,TO,SANTA TEREZINHA DO TOCANTINS,Rural Adjacente
172010,TO,SÃO BENTO DO TOCANTINS,Rural Adjacente
172015,TO,SÃO FÉLIX DO TOCANTINS,Rural Remoto
172020,TO,SÃO MIGUEL DO TOCANTINS,Rural Adjacente
172025,TO,SÃO SALVADOR DO TOCANTINS,Rural Remoto
172030,TO,SÃO SEBASTIÃO DO TOCANTINS,Rural Adjacente
172049,TO,SÃO VALÉRIO,Rural Adjacente
172065,TO,SILVANÓPOLIS,Rural Adjacente
172080,TO,SÍTIO NOVO DO TOCANTINS,Rural Adjacente
172085,TO,SUCUPIRA,Rural Adjacente
172090,TO,TAGUATINGA,Rural Remoto
172093,TO,TAIPAS DO TOCANTINS,Rural Remoto
172097,TO,TALISMÃ,Rural Adjacente
172100,TO,PALMAS,Urbano
172110,TO,TOCANTÍNIA,Intermediário Adjacente
172120,TO,TOCANTINÓPOLIS,Urbano
172125,TO,TUPIRAMA,Intermediário Remoto
172130,TO,TUPIRATINS,Rural Adjacente
172210,TO,XAMBIOÁ,Intermediário Adjacente
210005,MA,AÇAILÂNDIA,Urbano
210010,MA,AFONSO CUNHA,Rural Adjacente
210015,MA,ÁGUA DOCE DO MARANHÃO,Rural Adjacente
210020,MA,ALCÂNTARA,Rural Adjacente
210030,MA,ALDEIAS ALTAS,Intermediário Adjacente
210040,MA,ALTAMIRA DO MARANHÃO,Rural Adjacente
210043,MA,ALTO ALEGRE DO MARANHÃO,Urbano
210047,MA,ALTO ALEGRE DO PINDARÉ,Rural Adjacente
210050,MA,ALTO PARNAÍBA,Rural Remoto
210055,MA,AMAPÁ DO MARANHÃO,Rural Adjacente
210060,MA,AMARANTE DO MARANHÃO,Rural Adjacente
210070,MA,ANAJATUBA,Rural Adjacente
210080,MA,ANAPURUS,Rural Adjacente
210083,MA,APICUM-AÇU,Rural Remoto
210087,MA,ARAGUANÃ,Rural Adjacente
210090,MA,ARAIOSES,Rural Adjacente
210095,MA,ARAME,Rural Remoto
210100,MA,ARARI,Intermediário Adjacente
210110,MA,AXIXÁ,Rural Adjacente
210120,MA,BACABAL,Urbano
210125,MA,BACABEIRA,Rural Adjacente
210130,MA,BACURI,Rural Remoto
210135,MA,BACURITUBA,Rural Adjacente
210140,MA,BALSAS,Urbano
210150,MA,BARÃO DE GRAJAÚ,Urbano
210160,MA,BARRA DO CORDA,Urbano
210170,MA,BARREIRINHAS,Rural Remoto
210173,MA,BELÁGUA,Rural Adjacente
210177,MA,BELA VISTA DO MARANHÃO,Rural Adjacente
210180,MA,BENEDITO LEITE,Intermediário Remoto
210190,MA,BEQUIMÃO,Rural Adjacente
210193,MA,BERNARDO DO MEARIM,Rural Adjacente
210197,MA,BOA VISTA DO GURUPI,Rural Adjacente
210200,MA,BOM JARDIM,Rural Adjacente
210203,MA,BOM JESUS DAS SELVAS,Intermediário Adjacente
210207,MA,BOM LUGAR,Rural Adjacente
210210,MA,BREJO,Rural Adjacente
210215,MA,BREJO DE AREIA,Rural Adjacente
210220,MA,BURITI,Rural Adjacente
210230,MA,BURITI BRAVO,Urbano
210232,MA,BURITICUPU,Urbano
210235,MA,BURITIRANA,Rural Adjacente
210237,MA,CACHOEIRA GRANDE,Rural Adjacente
210250,MA,CAJARI,Rural Adjacente
210255,MA,CAMPESTRE DO MARANHÃO,Urbano
210260,MA,CÂNDIDO MENDES,Rural Adjacente
210270,MA,CANTANHEDE,Intermediário Adjacente
210275,MA,CAPINZAL DO NORTE,Rural Adjacente
210280,MA,CAROLINA,Intermediário Adjacente
210290,MA,CARUTAPERA,Urbano
210300,MA,CAXIAS,Urbano
210310,MA,CEDRAL,Rural Adjacente
210312,MA,CENTRAL DO MARANHÃO,Rural Adjacente
210315,MA,CENTRO DO GUILHERME,Rural Adjacente
210317,MA,CENTRO NOVO DO MARANHÃO,Rural Adjacente
210320,MA,CHAPADINHA,Urbano
210325,MA,CIDELÂNDIA,Rural Adjacente
210330,MA,CODÓ,Urbano
210340,MA,COELHO NETO,Urbano
210350,MA,COLINAS,Intermediário Adjacente
210355,MA,CONCEIÇÃO DO LAGO-AÇU,Rural Adjacente
210360,MA,COROATÁ,Urbano
210370,MA,CURURUPU,Intermediário Adjacente
210375,MA,DAVINÓPOLIS,Urbano
210380,MA,DOM PEDRO,Intermediário Adjacente
210390,MA,DUQUE BACELAR,Rural Adjacente
210400,MA,ESPERANTINÓPOLIS,Rural Adjacente
210405,MA,ESTREITO,Urbano
210407,MA,FEIRA NOVA DO MARANHÃO,Rural Remoto
210408,MA,FERNANDO FALCÃO,Rural Remoto
210409,MA,FORMOSA DA SERRA NEGRA,Rural Remoto
210410,MA,FORTALEZA DOS NOGUEIRAS,Rural Adjacente
210420,MA,FORTUNA,Rural Adjacente
210430,MA,GODOFREDO VIANA,Rural Adjacente
210440,MA,GONÇALVES DIAS,Rural Adjacente
210450,MA,GOVERNADOR ARCHER,Rural Adjacente
210455,MA,GOVERNADOR EDISON LOBÃO,Intermediário Adjacente
210460,MA,GOVERNADOR EUGÊNIO BARROS,Rural Adjacente
210462,MA,GOVERNADOR LUIZ ROCHA,Rural Adjacente
210465,MA,GOVERNADOR NEWTON BELLO,Rural Adjacente
210467,MA,GOVERNADOR NUNES FREIRE,Intermediário Adjacente
210470,MA,GRAÇA ARANHA,Rural Adjacente
210480,MA,GRAJAÚ,Urbano
210490,MA,GUIMARÃES,Rural Adjacente
210500,MA,HUMBERTO DE CAMPOS,Rural Remoto
210510,MA,ICATU,Rural Adjacente
210515,MA,IGARAPÉ DO MEIO,Rural Adjacente
210530,MA,IMPERATRIZ,Urbano
210535,MA,ITAIPAVA DO GRAJAÚ,Rural Remoto
210540,MA,ITAPECURU MIRIM,Urbano
210542,MA,ITINGA DO MARANHÃO,Intermediário Adjacente
210545,MA,JATOBÁ,Rural Adjacente
210547,MA,JENIPAPO DOS VIEIRAS,Rural Remoto
210550,MA,JOÃO LISBOA,Intermediário Adjacente
210560,MA,JOSELÂNDIA,Rural Adjacente
210565,MA,JUNCO DO MARANHÃO,Rural Adjacente
210570,MA,LAGO DA PEDRA,Urbano
210580,MA,LAGO DO JUNCO,Rural Adjacente
210590,MA,LAGO VERDE,Rural Adjacente
210592,MA,LAGOA DO MATO,Rural Adjacente
210594,MA,LAGO DOS RODRIGUES,Rural Adjacente
